,rxn_id,rxn_smiles,G_r,DG_TS
0,0,[CH4:1].[CH3:2][O:3]>>[CH3:1].[CH3:2][OH:3],3.1,18.8
1,1,[CH3:1][CH2:2][CH:3]([CH3:4])[CH2:5][CH3:6].[CH3:7][O:8]>>[CH2:1][CH2:2][CH:3]([CH3:4])[CH2:5][CH3:6].[CH3:7][OH:8],-2.3,16.2
2,2,[CH3:1][CH2:2][CH:3]([CH3:4])[CH2:5][CH3:6].[CH3:7][O:8]>>[CH3:1][CH:2][CH:3]([CH3:4])[CH2:5][CH3:6].[CH3:7][OH:8],-6.1,14.6
3,3,[CH3:1][CH2:2][CH:3]([CH3:4])[CH2:5][CH3:6].[CH3:7][O:8]>>[CH3:1][CH2:2][C:3]([CH3:4])[CH2:5][CH3:6].[CH3:7][OH:8],-8.1,11.9
4,4,[CH3:1][CH2:2][CH:3]([CH3:4])[CH2:5][CH3:6].[CH3:7][O:8]>>[CH3:1][CH2:2][CH:3]([CH2:4])[CH2:5][CH3:6].[CH3:7][OH:8],-2.4,17.1
5,5,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6]([CH3:7])=[O:8].[CH3:9][O:10]>>[CH3:1][CH2:2][CH2:3][CH:4][O:5][C:6]([CH3:7])=[O:8].[CH3:9][OH:10],-4.6,15.9
6,6,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6]([CH3:7])=[O:8].[CH3:9][O:10]>>[CH3:1][CH2:2][CH:3][CH2:4][O:5][C:6]([CH3:7])=[O:8].[CH3:9][OH:10],-4.5,16.0
7,7,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6]([CH3:7])=[O:8].[CH3:9][O:10]>>[CH3:1][CH:2][CH2:3][CH2:4][O:5][C:6]([CH3:7])=[O:8].[CH3:9][OH:10],-5.6,14.8
8,8,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6]([CH3:7])=[O:8].[CH3:9][O:10]>>[CH2:1][CH2:2][CH2:3][CH2:4][O:5][C:6]([CH3:7])=[O:8].[CH3:9][OH:10],-1.1,17.1
9,9,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][CH2:6][CH3:7].[CH3:8][O:9]>>[CH3:1][CH2:2][CH2:3][CH:4][O:5][CH2:6][CH3:7].[CH3:8][OH:9],-8.4,12.1
10,10,[CH2:1]=[CH:2][CH3:3].[CH3:4][O:5]>>[CH2:1]=[CH:2][CH2:3].[CH3:4][OH:5],-15.3,14.1
11,11,[CH2:1]=[CH:2][CH2:3][CH3:4].[CH3:5][O:6]>>[CH2:1]=[CH:2][CH:3][CH3:4].[CH3:5][OH:6],-19.5,12.7
12,12,[CH2:1]=[CH:2][CH:3]([CH3:4])[CH3:5].[CH3:6][O:7]>>[CH2:1]=[CH:2][C:3]([CH3:4])[CH3:5].[CH3:6][OH:7],-21.6,12.0
13,13,[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.[CH3:8][O:9]>>[CH2:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.[CH3:8][OH:9],-11.3,16.0
14,14,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[CH3:9][O:10]>>[CH3:1][CH:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[CH3:9][OH:10],-16.1,12.2
15,15,[CH3:1][CH:2]([CH3:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1.[CH3:10][O:11]>>[CH3:1][C:2]([CH3:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1.[CH3:10][OH:11],-17.0,12.9
16,16,[CH2:1]=[C:2]([CH3:3])[CH2:4][CH2:5][CH2:6][CH2:7][CH3:8].[CH3:9][O:10]>>[CH2:1]=[C:2]([CH2:3])[CH2:4][CH2:5][CH2:6][CH2:7][CH3:8].[CH3:9][OH:10],-14.7,14.8
17,17,[CH3:1][CH2:2][C:3]([CH3:4])=[O:5].[CH3:6][O:7]>>[CH3:1][CH2:2][C:3]([CH2:4])=[O:5].[CH3:6][OH:7],-6.4,17.7
18,18,[CH3:1][CH2:2][C:3]([CH3:4])=[O:5].[CH3:6][O:7]>>[CH3:1][CH:2][C:3]([CH3:4])=[O:5].[CH3:6][OH:7],-11.0,16.6
19,19,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6]([CH3:7])=[O:8].[CH3:9][O:10]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][C:6]([CH2:7])=[O:8].[CH3:9][OH:10],-6.6,17.6
20,20,[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6]([CH3:7])=[O:8].[CH3:9][O:10]>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6]([CH2:7])=[O:8].[CH3:9][OH:10],-2.9,20.3
21,21,[CH3:1][C:2]#[N:3].[CH3:4][O:5]>>[CH2:1][C:2]#[N:3].[CH3:4][OH:5],-5.1,19.3
22,22,[CH3:1][CH2:2][C:3]#[N:4].[CH3:5][O:6]>>[CH3:1][CH:2][C:3]#[N:4].[CH3:5][OH:6],-11.4,16.5
23,23,[CH3:1][CH:2]([CH3:3])[C:4]#[N:5].[CH3:6][O:7]>>[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[CH3:6][OH:7],-16.3,14.4
24,24,[CH3:1][CH3:2].[CH3:3][O:4]>>[CH2:1][CH3:2].[CH3:3][OH:4],-2.4,16.6
25,25,[CH3:1][CH2:2][CH3:3].[CH3:4][O:5]>>[CH3:1][CH:2][CH3:3].[CH3:4][OH:5],-6.3,14.0
26,26,[CH3:1][CH2:2][CH3:3].[CH3:4][O:5]>>[CH2:1][CH2:2][CH3:3].[CH3:4][OH:5],-1.5,17.0
