,x_cat,x_sub,BDFE_cat,BDFE_sub,d,Vbur_cat,Vbur_sub,gibbs,gibbs_exp,gibbs_relative,Mol.Rad,DG_TS_scaled
0,6,3.3,94.6,83.1,0,34.2,25.1,11.5,7.3,0.8,OCC(CO)(C)C(O)=O.O[CH]C(CO)(C)C(O)=O,12.5
1,6,3.2,94.6,81.7,0,34.2,25.9,13.6,9.4,2.9,CC(C)(C(NCCCCC)=O)C.CC(C)(C(N[CH]CCCC)=O)C,14.6
2,6,3.3,94.6,81.9,0,34.2,22.5,13.5,9.3,2.8,CC(NCCCCC)=O.CC(N[CH]CCCC)=O,14.5
3,6,3.7,94.6,82.1,0,34.2,23.8,14.2,10.0,3.5,O=C(NCCCCC)C(F)(F)F.O=C(N[CH]CCCC)C(F)(F)F,15.2
4,6,3.6,94.6,87.5,0,34.2,23.3,14.3,10.1,3.6,O=C(N1CCCCC)C2=CC=CC=C2C1=O.O=C(N1[CH]CCCC)C2=CC=CC=C2C1=O,15.299999999999999
5,6,3.4,94.6,84.0,0,34.2,31.8,14.0,9.8,3.3,CC(NC(C)CCC(C)C)=O.CC(N[C](C)CCC(C)C)=O,15.0
6,6,3.5,94.6,82.7,0,34.2,28.7,14.3,10.1,3.6,O=C(N1C(C)CCCC)C2=CC=CC=C2C1=O.O=C(N1[C](C)CCCC)C2=CC=CC=C2C1=O,15.299999999999999
7,6,3.2,94.6,81.0,0,34.2,28.6,13.4,9.2,2.7,CC(NCCCC(C)C)=O.CC(N[CH]CCC(C)C)=O,14.399999999999999
8,6,3.7,94.6,86.1,0,34.2,22.5,14.3,10.1,3.6,O=C(N1CCC(C)C)C2=CC=CC=C2C1=O.O=C(N1[CH]CC(C)C)C2=CC=CC=C2C1=O,15.299999999999999
9,6,3.7,94.6,78.1,1,34.2,23.7,13.7,9.5,3.0,CCCc1ccccc1.CC[CH]c1ccccc1,14.7
10,6,3.7,94.6,88.2,0,34.2,24.1,15.5,11.3,4.8,CCCOC(C)=O.CC[CH]OC(C)=O,16.5
11,6,3.2,94.6,82.3,0,34.2,19.5,13.8,9.6,3.1,CCCNC(C)=O.CC[CH]NC(C)=O,14.799999999999999
12,6,3.7,94.6,87.3,0,34.2,23.1,15.5,11.3,4.8,CCCN1C(c2c(C1=O)cccc2)=O.CC[CH]N1C(c2c(C1=O)cccc2)=O,16.5
13,6,3.5,94.6,63.8,1,34.2,17.4,11.0,6.8,0.3,C1=CCC=CC1.C1=CCC=C[CH]1,12.0
14,6,3.7,94.6,83.3,0,34.2,18.0,13.6,9.4,2.9,OCCO.O[CH]CO,14.6
15,6,3.3,94.6,84.3,0,34.2,19.1,13.1,8.9,2.4,OCCCO.O[CH]CCO,14.1
16,6,3.1,94.6,84.0,0,34.2,19.0,13.0,8.8,2.3,OC1CCC1.O[C]1CCC1,14.0
17,6,2.9,94.6,83.5,0,34.2,18.8,12.5,8.3,1.8,CC(C)(C)[C@H]1CC[C@@H](O)CC1.CC(C)(C)C1CC[C](O)CC1,13.5
18,6,3.0,94.6,83.1,0,34.2,23.1,12.9,8.7,2.2,CC(C)(C)[C@H]1CC[C@H](O)CC1.CC(C)(C)C1CC[C](O)CC1,13.899999999999999
19,6,3.3,94.6,84.6,0,34.2,24.8,13.2,9.0,2.5,O[C@H]1[C@@H](O)CCCC1.O[C]1[C@@H](O)CCCC1,14.2
20,6,2.6,94.6,79.9,0,34.2,25.8,11.4,7.2,0.7,N[C@H]1[C@@H](N)CCCC1.N[C]1[C@@H](N)CCCC1,12.399999999999999
21,6,2.6,94.6,79.8,0,34.2,23.2,11.4,7.2,0.7,N[C@H]1CC[C@H](N)CC1.NC1CC[C](N)CC1,12.399999999999999
22,6,3.7,94.6,78.1,1,34.2,25.2,13.6,9.4,2.9,CCCCCC1=CC=CC=C1.CCCC[CH]C1=CC=CC=C1,14.6
23,6,3.1,94.6,81.9,0,34.2,19.0,13.5,9.3,2.8,CCCCCNC(C)=O.CCCC[CH]NC(C)=O,14.5
24,6,3.4,94.6,77.1,1,34.2,28.2,13.5,9.3,2.8,c1(C2CCCCC2)ccccc1.c1([C]2CCCCC2)ccccc1,14.5
25,6,3.0,94.6,83.0,0,34.2,22.7,12.9,8.7,2.2,OC1CCCCC1.O[C]1CCCCC1,13.899999999999999
26,6,3.5,94.6,88.6,0,34.2,30.4,14.0,9.8,3.3,CC(OC1CCCCC1)=O.CC(O[C]1CCCCC1)=O,15.0
27,6,2.6,94.6,79.8,0,34.2,23.0,11.7,7.5,1.0,NC1CCCCC1.N[C]1CCCCC1,12.7
28,6,3.1,94.6,84.7,0,34.2,31.5,13.7,9.5,3.0,CC(NC1CCCCC1)=O.CC(N[C]1CCCCC1)=O,14.7
29,6,2.6,94.6,80.6,0,34.2,22.7,10.7,6.5,0.0,CCCNCCC.CCCN[CH]CC,11.7
30,6,2.6,94.6,81.1,0,34.2,24.8,10.6,6.4,-0.1,CC(CN(CC(C)C)CC(C)C)C.CC([CH]N(CC(C)C)CC(C)C)C,11.6
31,6,2.8,94.6,81.2,0,34.2,21.8,12.1,7.9,1.4,CC(CN)C.C[C](CN)C,13.1
32,6,2.5,94.6,80.8,0,34.2,16.5,10.6,6.4,-0.1,C1CCNC1.C1CCN[CH]1,11.6
33,6,2.5,94.6,80.2,0,34.2,21.5,10.3,6.1,-0.4,CN1CCCC1.CN1CCC[CH]1,11.299999999999999
34,6,2.7,94.6,80.9,0,34.2,20.9,10.7,6.5,0.0,C1CCCNC1.C1CC[CH]NC1,11.7
35,6,2.6,94.6,81.1,0,34.2,23.2,10.6,6.4,-0.1,CN1CCCCC1.CN1[CH]CCCC1,11.6
36,6,2.5,94.6,81.0,0,34.2,27.5,10.6,6.4,-0.1,CC(C)(C)N1CCCCC1.CC(C)(C)N1[CH]CCCC1,11.6
37,6,2.7,94.6,81.6,0,34.2,20.1,10.3,6.1,-0.4,C1CNCCN1.C1CNC[CH]N1,11.299999999999999
38,6,2.7,94.6,81.8,0,34.2,23.6,10.6,6.4,-0.1,CN1CCN(C)CC1.CN1[CH]CN(C)CC1,11.6
39,6,4.4,94.6,73.9,1,34.2,22.6,14.0,9.8,3.3,O=C(NCC(O)=O)OC(C)(C)C.O=C(N[CH]C(O)=O)OC(C)(C)C,15.0
40,6,4.1,94.6,72.7,1,34.2,27.8,14.2,10.0,3.5,O=C(NC(C)C(O)=O)OC(C)(C)C.O=C(N[C](C)C(O)=O)OC(C)(C)C,15.2
41,6,4.1,94.6,77.3,1,34.2,34.2,14.4,10.2,3.7,O=C(NC(C(C)C)C(O)=O)OC(C)(C)C.O=C(N[C](C(C)C)C(O)=O)OC(C)(C)C,15.399999999999999
42,6,4.1,94.6,72.3,1,34.2,31.5,14.1,9.9,3.4,O=C(NC(CCC)C(O)=O)OC(C)(C)C.O=C(N[C](CCC)C(O)=O)OC(C)(C)C,15.1
43,6,4.1,94.6,72.8,1,34.2,38.1,13.8,9.6,3.1,O=C(NC(CC(C)C)C(O)=O)OC(C)(C)C.O=C(N[C](CC(C)C)C(O)=O)OC(C)(C)C,14.799999999999999
44,6,3.1,94.6,83.1,0,34.2,21.1,12.9,8.7,2.2,O[C@@H]1[C@H](O)CCC1.O[C]1[C@H](O)CCC1,13.899999999999999
