Col 1;Col 2;Col 3;Col 4;Col 5;Col 6;Col 7;Col 8
1;C.[CH3];96;3.1;4.8;4.4;14.1;18.81839739
2;CCC(C)CC.[CH2]CC(C)CC;90.5;-2.3;3.9;9.2;16.8;16.17595278
3;CCC(C)CC.C[CH]C(C)CC;86.7;-6.1;3.4;12.2;22.6;14.56262457
4;CCC(C)CC.CC[C](C)CC;84.7;-8.1;3.2;13.8;27.8;11.87311671
5;CCC(C)CC.CCC([CH2])CC;90.4;-2.4;3.9;9;23.7;17.12349288
6;CC(OCCCC)=O.CC(O[CH]CCC)=O;88.2;-4.6;3.6;10.6;24.3;15.87098292
7;CC(OCCCC)=O.CC(OC[CH]CC)=O;88.4;-4.5;3.8;9.4;24.4;16.03162548
8;CC(OCCCC)=O.CC(OCC[CH]C)=O;87.2;-5.6;3.7;10.1;22.7;14.75715267
9;CC(OCCCC)=O.CC(OCCC[CH2])=O;91.7;-1.1;4.2;7.4;16.9;17.06387943
10;CCOCCCC.CCO[CH]CCC;84.4;-8.4;3;14.8;24.2;12.09588276
11;CC=C.[CH2]C=C;77.5;-15.3;4.2;7.3;17.1;14.06814669
12;CCC=C.C[CH]C=C;73.4;-19.5;3.8;9.9;19.8;12.68950722
13;CC(C)C=C.C[C](C)C=C;71.2;-21.6;3.6;11;21.7;11.95092795
14;CC1=CC=CC=C1.[CH2]C2=CC=CC=C2;81.5;-11.3;4;8.5;17.2;16.01091765
15;CCC1=CC=CC=C1.C[CH]C2=CC=CC=C2;76.7;-16.1;3.7;10.2;21.3;12.15361368
16;CC(C)C1=CC=CC=C1.C[C](C)C2=CC=CC=C2;75.8;-17;3.5;11.6;25.1;12.88654536
17;CCCCCC(C)=C.CCCCCC([CH2])=C;78.1;-14.7;4;8.2;20.2;14.80421592
18;CCC(C)=O.CCC([CH2])=O;86.5;-6.4;5.7;1.6;20.5;17.70519465
19;CCC(C)=O.C[CH]C(C)=O;81.8;-11;5.1;3.3;21.6;16.57128408
20;CCCCCC(C)=O.CCCCCC([CH2])=O;86.2;-6.6;5.6;1.6;20.5;17.57279004
21;CC(OCCCC)=O.[CH2]C(OCCCC)=O;90;-2.9;5.6;1.8;19;20.28865332
22;CC#N.[CH2]C#N;87.7;-5.1;5.9;1;17;19.2959325
23;CCC#N.C[CH]C#N;81.4;-11.4;5.2;2.8;19.8;16.48155015
24;CC(C)C#N.C[C](C)C#N;76.6;-16.3;4.8;4.5;22.2;14.42394486
25;CC.C[CH2];90.5;-2.4;4;8.7;16.5;16.63695338
26;CCC.C[CH]C;86.6;-6.3;3.4;11.9;19.2;14.04717154
27;CCC.[CH2]CC;91.3;-1.5;4;8.3;16.5;16.97754723
28;CCC1=CC=CC=C1.[CH2]CC2=CC=CC=C2;91.4;-1.5;4;8.5;16.8;17.22483198
29;O=C(OCC)C1=CC=CC=C1.O=C(OC[CH2])C2=CC=CC=C2;94;1.2;4.9;4;16.8;18.66068342
30;O=C(OCC)C1=CC=CC=C1.O=C(O[CH]C)C2=CC=CC=C2;87.7;-5.2;3.8;9.6;20.5;14.4426729
31;O=C(OCC)CC1=CC=CC=C1.O=C(OCC)[CH]C2=CC=CC=C2;77.8;-15.1;4.7;5.0;21.7;16.17871822
32;COCC1=CC=CC=C1.CO[CH]C2=CC=CC=C2;72.5;-20.3;3.2;13.3;23.4;11.96923995
33;COCC1=CC=CC=C1.[CH2]OCC2=CC=CC=C2;85.3;-7.5;3.5;11.6;18;14.93206857
34;O=C(NC)C1=CC=CC=C1.O=C(N[CH2])C2=CC=CC=C2;82.9;-9.9;3.7;10.5;17.9;14.24625599
35;CC(NC1=CC=CC=C1)=O.[CH2]C(NC2=CC=CC=C2)=O;87.7;-5.2;5.3;2.7;18.4;18.06509987
36;CC(NC)=O.CC(N[CH2])=O;84.2;-8.6;3.7;10.3;19.7;12.59973062
37;CC(NC)=O.[CH2]C(NC)=O;89.1;-3.7;5.4;2.3;21.1;18.41090369
38;CCSCC.CCS[CH]C;83;-9.8;3.1;14.2;21.6;13.08217913
39;C1CCCC1.C2CC[CH]C2;85;-7.9;3.3;13.1;21.3;13.37169154
40;CC1CCCC1.C[C]2CCCC2;87.1;-5.7;3.5;11.8;23.6;14.72676613
41;CC1CCCCC1.C[C]2CCCCC2;84.2;-8.6;3.2;13.8;26.1;12.20046671
42;CC(C)(C)C1CCCCC1.CC(C)(C)[C]2CCCCC2;84.7;-8.2;3.1;14.7;31.7;14.02138276
43;C[C@@H]1[C@@H](C)CCCC1.C[C]2[C@@H](C)CCCC2;84.6;-8.2;3.2;13.6;28.6;12.04533997
44;C[C@H]1CCCC[C@H]1C.C[C@H]2CCCC[C]2C;83.6;-9.3;3;15.3;24.1;12.14706059
45;C[C@@H]1CC[C@@H](C)CC1.C[C]2CCC(C)CC2;84;-8.8;3.2;13.7;26.1;12.6565755
