,rxn_id,rxn_smiles,G_r,DG_TS,DG_TS_1,DG_TS_2
0,0,CC(CO)(CO)C(=O)O.CC(C)([O])c1ccccc1>>CC([CH]O)(CO)C(=O)O.CC(C)(O)c1ccccc1,,11.5,7.3,0.8
1,1,CCCCCNC(=O)C(C)(C)C.CC(C)([O])c1ccccc1>>CCCC[CH]NC(=O)C(C)(C)C.CC(C)(O)c1ccccc1,,13.6,9.4,2.9
2,2,CCCCCNC(C)=O.CC(C)([O])c1ccccc1>>CCCC[CH]NC(C)=O.CC(C)(O)c1ccccc1,,13.5,9.3,2.8
3,3,CCCCCNC(=O)C(F)(F)F.CC(C)([O])c1ccccc1>>CCCC[CH]NC(=O)C(F)(F)F.CC(C)(O)c1ccccc1,,14.2,10.0,3.5
4,4,CCCCCN1C(=O)c2ccccc2C1=O.CC(C)([O])c1ccccc1>>CCCC[CH]N1C(=O)c2ccccc2C1=O.CC(C)(O)c1ccccc1,,14.3,10.1,3.6
5,5,CC(=O)NC(C)CCC(C)C.CC(C)([O])c1ccccc1>>C[C](CCC(C)C)NC(C)=O.CC(C)(O)c1ccccc1,,14.0,9.8,3.3
6,6,CCCCC(C)N1C(=O)c2ccccc2C1=O.CC(C)([O])c1ccccc1>>CCCC[C](C)N1C(=O)c2ccccc2C1=O.CC(C)(O)c1ccccc1,,14.3,10.1,3.6
7,7,CC(=O)NCCCC(C)C.CC(C)([O])c1ccccc1>>CC(=O)N[CH]CCC(C)C.CC(C)(O)c1ccccc1,,13.4,9.2,2.7
8,8,CC(C)CCN1C(=O)c2ccccc2C1=O.CC(C)([O])c1ccccc1>>CC(C)C[CH]N1C(=O)c2ccccc2C1=O.CC(C)(O)c1ccccc1,,14.3,10.1,3.6
9,9,CCCc1ccccc1.CC(C)([O])c1ccccc1>>CC[CH]c1ccccc1.CC(C)(O)c1ccccc1,,13.7,9.5,3.0
10,10,CCCOC(C)=O.CC(C)([O])c1ccccc1>>CC[CH]OC(C)=O.CC(C)(O)c1ccccc1,,15.5,11.3,4.8
11,11,CCCNC(C)=O.CC(C)([O])c1ccccc1>>CC[CH]NC(C)=O.CC(C)(O)c1ccccc1,,13.8,9.6,3.1
12,12,CCCN1C(=O)c2ccccc2C1=O.CC(C)([O])c1ccccc1>>CC[CH]N1C(=O)c2ccccc2C1=O.CC(C)(O)c1ccccc1,,15.5,11.3,4.8
