,rxn_id,rxn_smiles,G_r,DG_TS,DG_TS_tunn
0,0,CC(C)C(C)C.C[O]>>C[C](C)C(C)C.CO,,12.46987872,
1,1,CC(C)C(C)C.C[O]>>[CH2]C(C)C(C)C.CO,,17.27723283,
2,2,CCCCCC.C[O]>>CC[CH]CCC.CO,,14.34425109,
3,3,CCCCCC.C[O]>>C[CH]CCCC.CO,,14.05371396,
4,4,CCCCCC.C[O]>>[CH2]CCCCC.CO,,17.56149486,
5,5,C1C[C@H]2CC[C@@H]1C2.C[O]>>[CH]1[C@H]2CC[C@@H]1CC2.CO,,17.2251495,
6,6,C1C[C@H]2CC[C@@H]1C2.C[O]>>C1C[C@H]2CC[C@]1C2.CO,,15.61746888,
7,7,C1C[C@H]2CC[C@@H]1C2.C[O]>>[CH]1C[C@@H]2CC[C@H]1C2.CO,,13.34588268,
8,8,C1C2CC3CC1CC(C2)C3.C[O]>>[CH]1C2CC3CC1CC(C2)C3.CO,,14.97113358,
9,9,C1C2CC3CC1CC(C2)C3.C[O]>>C1[C]2CC3CC1CC(C2)C3.CO,,13.01079234,
10,10,CC(C)CC(C)C.C[O]>>CC(C)[CH]C(C)C.CO,,15.70908534,
11,11,CC(C)CC(C)C.C[O]>>C[C](C)CC(C)C.CO,,12.10278537,
12,12,CC(C)CC(C)C.C[O]>>[CH2]C(C)CC(C)C.CO,,16.86872382,
13,13,c1ccc2c(c1)CCC2.C[O]>>[CH]1CCc2ccccc21.CO,,10.49447724,
14,14,c1ccc2c(c1)CCC2.C[O]>>[CH]1Cc2ccccc2C1.CO,,12.84387468,
