Substrate	Set	GFN2	GFNFF	GFN2_GFNFF	GFN1_GFNFF	GFN1	GFN0	B3LYP_STO3G	B3LYPD3_STO3G	HF_STO3G	PM3	PM6	PM6D3	PM7	PDDG	AM1	DFT_Barrier
dimethylamine	Training	123.22	45.44	121.71	135.68	138.19	126.69	130.35	125.13	110.06	88.87	89.26	89.33	91.13	92.46	87.9	7.62
dimethylether	Training	127.66	83.09	127.64	142.69	142.85	122.29	129.67	126.37	109.95	90.57	92.97	93.07	95.37	92.92	94.97	12.17
dimethylsulfane	Training	124.24	78.66	121.57	136.68	139.47	119.34	133.64	131.63	112.34	92.62	97.28	97.4	98.78	99.53	94.1	10.97
ethylbenzene_C7	Training	131.26	84.98	130.05	142.94	144.25	128.81	137.03	136.19	112.09	91.47	93.56	93.75	96.41	94.26	92.64	12.09
isobutane_C2	Training	129.1	98.02	128.49	141.38	142.05	130.74	134	133.79	109.1	88.29	88.55	88.66	92.13	94.76	91.92	14.27
isopropylbenzene_C7	Training	128.93	87.46	128.11	140.92	141.93	129.78	134.05	133.58	108.79	88.17	89.15	89.26	92.4	95.04	91.77	13.34
methane	Training	143.39	101.79	143.41	156.17	156.16	137.03	147.24	147.38	119.59	101.51	105.31	105.3	107.33	106.96	102.47	20.72
methylphenylsulfane	Training	123.9	80.34	120.91	136.75	139.47	118.65	134.57	132.45	112.33	93.12	97.68	98.32	99.14	100.99	94.18	10.85
propane_C1	Training	137.07	101.05	136.58	149.59	150.23	132.48	142.5	142.22	116.06	96.07	98.74	98.86	101.19	101.02	98.45	17.66
propane2_C2	Training	132.27	99.18	131.44	144.68	145.58	131.12	137.88	137.2	112.33	91.16	92.4	92.51	95.57	96.02	94.65	14.82
propene	Training	129.91	70.61	129.51	142.46	143.16	126.04	136.69	135.58	107.07	93.69	97.37	97.47	99.6	98.26	95.52	12.88
propionaldehyde_C2	Training	126.28	66.97	125.75	140.14	140.92	123.72	133.68	132.72	103.29	92.66	95.51	95.63	98.35	97.59	96.19	11.45
toluene	Training	127.31	78.1	127.19	140.23	140.71	123.1	135.26	134.49	113.73	92.11	96.01	97.45	98.91	96.53	93.35	13.05
trimethylamine	Training	123.43	45.56	122.67	135.74	138.18	126.87	130.78	126.62	110.51	90	90.32	90.47	92.34	93.75	88.87	6.67
2fluoropropene	Test	131.21	72.81	130.07	142.32	143.68	125.18	137.91	135.86	108.42	95.31	99.26	99.43	101.43	99.86	96.97	13.19
2hydroxypropene	Test	131.2	77.18	129.86	142.39	143.98	125.52	138.08	135.96	109.23	95.09	100.14	100.08	102.41	99.87	97.35	11.74
4nitrotoluene	Test	126.95	78.44	127.34	140.38	140.56	123.08	135.44	135.27	114.06	93.01	97.17	98.67	99.67	97.62	94.16	11.83
NNdimethylaniline	Test	119.89	48.39	120.59	133.45	135.32	121.73	129.12	132.57	108.67	89.61	90.24	90.46	92.49	93.44	88.57	6.91
Nmethylaniline	Test	120.66	46.88	120.34	133.99	136.44	122.77	129.69	127.59	109.7	88.34	89.57	89.66	91.77	93.48	87.98	7.62
ethylbenzene_C8	Test	135.6	101.03	135.61	149.05	149.12	130.84	141.71	141.8	115.69	96.13	99.08	99.19	101.64	100.81	98.66	17.26
fluoroethane_C1	Test	129.83	78.47	128.32	142.28	143.91	130.03	124.98	120.67	106.65	88.57	92.43	92.48	92.64	92.71	90.47	14.72
fluoroethane_C2	Test	138.28	104.46	137.31	149.93	150.97	132.1	143	142.36	116.59	97.63	100.15	100.26	102.7	102.39	100.21	18.45
methoxybenzene	Test	126.2	83.62	126.35	141.54	141.51	121.15	131.11	128.25	109.69	90.8	95.49	95.58	97.44	93.69	95.63	13.03
pxylene	Test	126.75	77.98	126.58	139.72	140.25	122.61	135.03	134.22	113.65	91.86	95.5	97.01	98.61	96.22	93.05	12.67
camphor5exo	Validation	131.17	101.28	131.96	144.97	144.33	0	0	0	0	0	0	0	0	0	0	14.76
norcamphor3exo	Validation	126.25	66.43	127.72	141.26	140.45	0	0	0	0	0	0	0	0	0	0	14.07
norcamphor5exo	Validation	132.04	101.79	133.02	145.94	145.11	0	0	0	0	0	0	0	0	0	0	13.96
norcamphor6exo	Validation	128.29	102.02	130.23	143.71	142.16	0	0	0	0	0	0	0	0	0	0	12.73
Ralphapinene_4exo	Validation	123.91	71.23	123.7	136.41	136.92	0	0	0	0	0	0	0	0	0	0	10.85
Ralphapinene_2methyl	Validation	128.2	74.63	128.17	141.46	141.74	0	0	0	0	0	0	0	0	0	0	11.07
