Substrate	Set	BDE	BDEfr	forceconstant	bondorder	charge_H	alpha_H	SASA	charge_C	alpha_C	DFT_Barrier
dimethylamine	Training	117.98	123.22	0.9315	0.975	0.009	2.664	13.79	-0.025	6.587	7.62
dimethylether	Training	122.27	127.66	0.9703	0.977	0.028	2.532	13.643	0.042	6.443	12.17
dimethylsulfane	Training	117.99	124.24	1.0619	0.985	0.048	2.398	13.442	-0.049	6.617	10.97
ethylbenzene_C7	Training	109.18	131.27	1.0354	0.975	0.035	2.482	12.542	-0.058	6.617	12.09
isobutane_C2	Training	121.46	129.1	1.0028	0.97	0.025	2.552	13.185	-0.004	6.459	14.27
isopropylbenzene_C7	Training	106.68	128.93	1.0037	0.968	0.03	2.515	10.971	-0.014	6.485	13.34
methane	Training	137.28	143.39	1.1218	0.998	0.039	2.454	15.115	-0.156	6.959	20.72
methylphenylsulfane	Training	117.27	123.9	1.0696	0.983	0.055	2.353	12.548	-0.05	6.62	10.85
propane_C1	Training	130.4	137.07	1.0728	0.988	0.034	2.49	13.523	-0.102	6.766	17.66
propane2_C2	Training	125.13	132.27	1.0347	0.98	0.028	2.531	13.909	-0.047	6.59	14.82
propene	Training	112.4	129.91	1.0471	0.971	0.044	2.422	14.645	-0.104	6.769	12.88
propionaldehyde_C2	Training	110.99	126.28	1.0161	0.946	0.064	2.297	13.96	-0.078	6.677	11.45
toluene	Training	112.89	127.3	1.0419	0.968	0.046	2.406	14.665	-0.109	6.782	13.05
trimethylamine	Training	117.8	123.43	0.9248	0.973	0.011	2.649	12.866	-0.03	6.583	6.67
2fluoropropene	Test	113.6	131.21	1.0568	0.966	0.068	2.271	14.569	-0.121	6.819	13.19
2hydroxypropene	Test	114.44	131.21	1.0618	0.971	0.061	2.313	14.456	-0.117	6.808	11.74
4nitrotoluene	Test	111.07	126.94	1.0487	0.959	0.064	2.297	14.638	-0.117	6.805	11.83
NNdimethylaniline	Test	111.7	119.68	0.9661	0.975	0.035	2.484	13.457	-0.04	6.626	6.91
Nmethylaniline	Test	112.4	120.67	0.9656	0.975	0.032	2.504	13.947	-0.032	6.615	7.62
ethylbenzene_C8	Test	129.44	135.6	1.0701	0.986	0.035	2.48	14.555	-0.097	6.75	17.26
fluoroethane_C1	Test	124.89	129.83	1.0147	0.973	0.049	2.389	14.657	0.112	6.339	14.72
fluoroethane_C2	Test	130.91	138.28	1.0871	0.985	0.059	2.325	14.507	-0.116	6.807	18.45
methoxybenzene	Test	119.53	126.2	0.9958	0.977	0.039	2.456	12.975	0.039	6.468	13.03
pxylene	Test	112.25	126.75	1.0402	0.969	0.044	2.418	14.671	-0.108	6.779	12.67
