;ID;RXN_SMILES;dG_act;dG_rxn;time;frequency;r0_atoms;r1_atoms;check;Check Conn
85;181388;C/C(=N/N)c1ccccn1.[C]#CO>>[CH2]/C(=N/N)c1ccccn1.C#CO;5.279902203445531;-38.85623341839598;3.036746384832594;-876.2043;[2];[20];yes;FALSE
91;214367;CC(=O)[C@@H]1C=CC=NC1=O.O=CN/C=[C]/c1ccco1>>CC(=O)[C@@H]1C=C[C]=NC1=O.O=CN/C=C/c1ccco1;5.076959836522758;-3.199771615121831;4.394142496254709;-960.2585;[6];[21];yes;FALSE
187;4899;C/C=N/[C@@H](C)C(=O)O.O=C=NC(=O)c1c[c]on1>>C/C=N/[C](C)C(=O)O.O=C=NC(=O)c1ccon1;27.264528536545768;-39.618599756032566;3.707804991404216;-1892.8682;[1, 3, 11, 12];[24];yes;FALSE
231;457300;N=NC(N)N.CN1C[CH]N=N1>>N=N[C](N)N.CN1CCN=N1;35.02335354098401;-19.970755539602195;1.6025585096412236;-1451.0965;[1, 2, 6];[13, 14, 20];yes;FALSE
232;700247;C=C[C@@H]1CC1=C.O=N/C=N/C1=CC=C[N]N1>>[CH]=C1C[C@H]1C=C.O=N/C=N/C1=CC=CNN1;44.78140636508888;68.60655037051555;5.0271965055333245;-1037.8908;[5, 12];[14, 19, 22];yes;FALSE
250;588574;CCC(=O)c1ncco1.[CH2]C/C(N=O)=C(/C)NO>>[CH2]CC(=O)c1ncco1.CC/C(N=O)=C(/C)NO;44.28575225068955;0.5172161062878009;13.51260781135824;-1498.3353;[];[16, 17, 23, 32];yes;FALSE
256;116000;C1=C[C@H](c2ccccc2)C1.CN(NC(N)=O)C([NH])=O>>[C]1=CC[C@H]1c1ccccc1.CN(NC(N)=O)C(N)=O;32.62442435816921;15.559339676200352;5.28599607123269;-1766.5981;[];[22, 28, 32];yes;FALSE
325;598549;C[C@H](C(=O)N(C)C)N(C)C.CC1=[C]N(C)C(=O)[C@@H]1C>>C[C](C(=O)N(C)C)N(C)C.CC1=CN(C)C(=O)[C@@H]1C;36.27708386387074;-30.74634740087573;8.060859271552827;-1317.6333;[1, 6, 13, 18];[28];yes;FALSE
340;1927009;CC(C)[C@]1(C)C[C@@H]1CO.[N]=c1ccccn1CC=O>>CC(C)[C@]1(C)C[C]1CO.N=c1ccccn1CC=O;23.31504715779448;2.780785925447351;11.94103389216794;-987.3822;[];[25, 33];yes;FALSE
372;883493;CN1C=CCC(C=O)=C1.[CH]=C1CC[C@@H]1C(=O)O>>CN1[C]=C(C=O)CC=C1.C=C1CC[C@@H]1C(=O)O;52.572641261446414;0.8190225029878139;6.328666803969277;-1245.7236;[0, 8, 11, 17];[18];yes;FALSE
378;17584;C=C1CCCC[C@@H]1N.C#C[C@@]([CH2])(N)C(=O)O>>C=C1CCCC[C@@H]1[NH].C#C[C@@](C)(N)C(=O)O;11.123736677612028;-2.2230946360761985;11.828280707266597;-1662.5412;[7, 19];[23, 24, 26];yes;FALSE
481;1337370;CC(=O)N(C)[C@H](C)O.C[C@]12C=[C][C@H](CC1)C2>>C[C](O)N(C)C(C)=O.C[C@]12C=C[C@H](CC1)C2;38.32100051688614;-21.73551735234877;10.283810353212886;-1550.0993;[4, 5, 13, 14];[22];yes;FALSE
564;612534;CO[C@H]1OO[C@H]1OC.[C]1=CN=NC1>>CO[C]1OO[C@@H]1OC.C1=CN=NC1;35.37086186689331;-22.98571857526028;1.2885340815120274;-1274.5551;[0, 2, 9, 11];[16];yes;FALSE
583;1034893;C[C@@H]1NCCn2cccc21.[C]1=CC[C@@H]2C=CC=C[C@H]12>>C[C]1NCCn2cccc21.C1=C[C@@H]2C=CC[C@@H]2C=C1;23.32687504351929;-35.584862111718394;4.3752135656939615;-2095.1299;[1, 3, 13, 15];[22];yes;FALSE
