,smiles,xyz_file
0,CC(C)N(C=O)C1CC1,molecule_205474
1,C[C@H](N)[C@H](C)[C@H](C)[C@H](C)N,molecule_252369
2,CC(C)(C)[C@H](O)C(C)(C)O,molecule_255460
3,CN[C@]1(C)CCOC1,molecule_239090
4,C=C(CC)/C(C)=N/O,molecule_286301
5,CNc1cc(OC)ncn1,molecule_20664
6,CN(C)c1cc[nH]c(=O)c1,molecule_145143
7,C=CC(=O)NC(=O)CC,molecule_254781
8,CC(=O)CC(=O)N(C)C,molecule_26464
9,C[C@H](O)C(=O)N1CC=CC1,molecule_199406
10,CC1=CC(O)(O)OC1=O,molecule_134661
11,C=C(C)C#CC#CC(=C)C,molecule_283919
12,CC(C)(C)N(C#N)CC#N,molecule_243206
13,O/N=C/Cc1ccco1,molecule_284240
14,COC(=O)C1(N(C)C)CC1,molecule_240793
15,C=C(C)[C@](C)(O)CO,molecule_189714
16,CC/C=C/CCC(=O)O,molecule_101025
17,C[C@]1(C#N)CCCCC1=O,molecule_246227
18,CNCC[C@@H]1CCNC1,molecule_237434
19,C=C(C)C(=O)CCO,molecule_150893
20,CC1(C)CCC(=O)CC1,molecule_245439
21,Cc1ccn(CCCO)c1,molecule_91469
22,CCOC(=O)C(=O)NN,molecule_101040
23,CCC(=O)C(C)(C)C=O,molecule_248730
24,C1=C[C@@H]2NN=CN=C12,molecule_249697
25,CC(C)n1ccc(=O)cc1,molecule_255200
26,Cc1cccc(=O)o1,molecule_40530
27,CCOCn1cc(N)cn1,molecule_225709
28,CCC[C@](C)(CC)C(C)C,molecule_252952
29,C#C[C@H](O)[C@H](O)C#C,molecule_285042
30,O=C(O)Cc1ccno1,molecule_43953
31,CCc1cnc(OC)cn1,molecule_149773
32,COc1ccccc1N,molecule_1432
33,CC1=C(C)C1C,molecule_277742
34,CC(=O)N1CCC[C@@H]1CO,molecule_250277
35,c1ccc(C2CC2)cc1,molecule_16677
36,O=CC(C=O)c1ncc[nH]1,molecule_252636
37,C=CCCCN(C)C#N,molecule_220985
38,CC(C)(N)[C@H](O)C(=O)O,molecule_254824
39,CCC1CCCCC1,molecule_24353
40,CCOC(=O)[C@H](C)COC,molecule_247396
41,CCC(=O)OCCN1CC1,molecule_256128
42,C1CC[C@@H]2OC[C@@H]2C1,molecule_242953
43,O=C1C[C@@H]2C[C@@H]2CN1,molecule_257462
44,COc1cnnc(OC)n1,molecule_109819
45,ONCCc1cnc[nH]1,molecule_286219
46,NC1=CCC(=O)N=C1,molecule_284614
47,CCc1nc(C)no1,molecule_123198
48,COC(=O)c1cn[nH]c1C,molecule_83871
49,CCn1c(C)c[nH]c1=O,molecule_117868
50,CCCn1nc(C)cc1N,molecule_35119
51,CO[C@@H]1CCNC[C@@H]1O,molecule_240407
52,c1cnc2nnnnc2c1,molecule_246483
53,Nc1ncncc1C(=O)O,molecule_249189
54,COC(=O)[C@@H]1CNC(=O)C1,molecule_251309
55,O[C@@H]1C=CC=CCC1,molecule_257041
56,CNNC(=O)C(N)=O,molecule_192402
57,NC(N)=NCCCC(=O)O,molecule_7786
58,NNc1ncccc1N,molecule_94914
59,C/C=C/[C@@H]1CC[C@@H]1C,molecule_213950
60,CC[C@@H](C)CN1CCCC1,molecule_214332
61,C=C/C=C/CCCO,molecule_123004
62,CC(C)OC1=CC(=O)CC1,molecule_192129
63,CCC(CC)c1ncc[nH]1,molecule_246728
64,C=C(CC)[C@H](O)CCC,molecule_165475
65,COC1CCC(NN)CC1,molecule_240056
66,C[C@]1(N)CC=CC=C1O,molecule_284985
67,C[C@@H]1CCC(C)(C)[C@H](O)C1,molecule_256807
68,NOCC1CCOCC1,molecule_217084
69,COC(=O)/C=C/CC(C)=O,molecule_180997
70,N#C[C@H](O)CCCO,molecule_211362
71,CCC/C=N/NCCCC,molecule_251671
72,O=C1CCC(=O)NN1,molecule_8533
73,C1OCOCOCOCO1,molecule_277709
74,N#CCCOCC#CCO,molecule_277655
75,CCOCC[C@H](N)C#N,molecule_86828
76,CN(C)/C=N/C=C/C#N,molecule_198391
77,C1C[C@@H]2CCNC[C@@H]2C1,molecule_253219
78,CC[C@@H]1NCC[C@@H]1C,molecule_241196
79,C/C=C/C/C=C/CCC=O,molecule_254979
80,C=C1COC2(CCCC2)O1,molecule_247546
81,CCC(C)(CC)C(=O)OC,molecule_245978
82,CC1=NOC(=O)[C@@H]1CCO,molecule_247307
83,C/C=C/CN1CCOCC1,molecule_251371
84,C#C/C=C/CCC(=O)O,molecule_284305
85,CC(C)CN1CCCC1=O,molecule_30128
86,C/C=C/N=C/C(C)(C)C,molecule_256092
87,CCCCCC(=O)N1CC1,molecule_112580
88,O=C1NCC[C@H](/C=N/O)N1,molecule_284093
89,CN(C)/C=C/C(=O)C1CC1,molecule_81222
90,NC[C@@H]1CCCCCN1,molecule_252300
91,N#CCC(=O)NC#N,molecule_243982
92,CCCC(=O)NCC(C)C,molecule_57689
93,COC(C)(C#N)OC,molecule_120609
94,CN(C)C(=O)CCN1CC1,molecule_67993
95,CN1N=C(C(=O)O)CC1=O,molecule_187132
96,C=C(C)C#CC(=O)O,molecule_246405
97,C=C/C(C)=C/O,molecule_285477
98,OCC[C@H](O)[C@H](O)CO,molecule_64759
99,CCc1nccnc1C#N,molecule_181210
100,C=CC(C=C)CO,molecule_253392
101,CCC1CCCCCC1,molecule_247506
102,CCCCCC/C=C/OC,molecule_138741
103,N#CCCCCC=O,molecule_35114
104,C[C@H](CCO)C(=O)O,molecule_164415
105,CC(C)COC(=O)NO,molecule_284003
106,CCC(=O)c1coc(C)c1,molecule_108303
107,COC(=O)[C@@H]1O[C@@H]1C(C)C,molecule_187044
108,Cc1ccc(CCN)cc1,molecule_33451
109,COC(=O)C(=O)[C@H](C)OC,molecule_201616
110,CC(=O)[C@@H]1CCCCN1,molecule_242612
111,CC1(C)CCCCO1,molecule_251299
112,CC(C)(C)C(=O)OCCO,molecule_78665
113,C/C(=C\C(C)C)[C@H](C)O,molecule_214480
114,C=CCN[C@H](C)COC,molecule_231917
115,CCCC/N=C/C(C)C,molecule_246832
116,COCC(=O)C1CCC1,molecule_237797
117,Cc1ccc(C)n1C,molecule_17526
118,CC[C@H](C)/C=C/CC(C)C,molecule_252908
119,O=C1C(O)=C(O)C(O)=C1O,molecule_284882
120,CCCCN(CC)CCC,molecule_166782
121,CC(C)[C@@H]1C[C@@H]1CO,molecule_239181
122,Cc1cccc(CN)c1O,molecule_284732
123,Cc1ccc(C#N)[nH]c1=O,molecule_241249
124,CCOCOCCCO,molecule_137479
125,CCNn1ccc(N)c1,molecule_223847
126,Cc1nc(=O)o[nH]1,molecule_117049
127,C[C@@H]1CO[C@@H]2CCCC[C@H]12,molecule_251810
128,C/C=C/[C@H](C)O,molecule_23154
129,CCN[C@H](CC)CN,molecule_179250
130,O[C@@H]1CCCC[C@@H]2C[C@@H]2C1,molecule_250347
131,C[C@@H]1CCCN(C(=O)O)C1,molecule_171973
132,C1=CC2CCC(C1)CC2,molecule_107519
133,CC(=O)c1ccoc1,molecule_65875
134,COCCCCCCOC,molecule_62162
135,NC(=O)NC1CCCCC1,molecule_242542
136,CC[C@@H]1C(=O)NC(=O)[C@@H]1C,molecule_253997
137,CNc1ncccc1N,molecule_44086
138,C/C=C/CC/C=C/CO,molecule_176577
139,CN1CC(N)=NCC1=O,molecule_213354
