;ID;Check Freq;RXN_SMILES;dG_act;dG_rxn;time;frequency
1037;25356;TRUE;C1=C[C@H]([C@@H]2C=CCC2)CC1.[C]#C[C@](C)(O)CO>>[C]1=C[C@H]([C@@H]2C=CCC2)CC1.C#C[C@](C)(O)CO;8.439642502733907;-19.97955644473905;7.713737589452002;-180.0668
1124;28313;FALSE;CCC(=O)c1ccnnc1.OC[CH]NC1COC1>>CCC(=O)c1[c]cnnc1.OCCNC1COC1;34.54797201896833;21.18131821172422;8.990105194714335;-158.2801
1027;33854;TRUE;CO/C=C/C(=O)N=C=O.C[C@H](C=O)CCC[C]=O>>CO/[C]=C/C(=O)N=C=O.C[C@H](C=O)CCCC=O;32.02301866144095;19.56277491005148;6.506858011550373;-293.4774
495;108249;TRUE;C#C[C@H](OC(N)=O)C(C)C.O=c1cc(O)cc([CH]O)o1>>C#C[C@H](OC([NH])=O)C(C)C.O=c1cc(O)cc(CO)o1;48.60288174915741;37.17637375405919;5.345714567038748;-303.1424
1104;125037;FALSE;COc1ccc(C(=O)O)o1.CC[C@H]([NH])[C@H](C)OC>>COc1ccc(C([O])=O)o1.CC[C@H](N)[C@H](C)OC;4.074226540992271;13.645527716003016;14.14041872408655;-47.4749
1127;145985;FALSE;NC(=O)c1ccno1.CO[C@@H]1OCC[CH]N1C>>NC(=O)c1[c]cno1.CO[C@@H]1OCCCN1C;37.23825668686686;30.15728509925826;4.398835678895314;-200.3839
68;152200;TRUE;OC[C@H]1CC[C@@H](CO)C1.CCOc1[c][nH]c(=O)cn1>>O[CH][C@H]1CC[C@@H](CO)C1.CCOc1c[nH]c(=O)cn1;8.797923303403532;-19.141546053091577;13.515276000830864;-397.7871
1446;154089;TRUE;O=C1C=CC(=O)C(O)=C1O.C#C[C@@]1(O)CCC[C@H]1O[CH2]>>O=C1[C]=CC(=O)C(O)=C1O.C#C[C@@]1(O)CCC[C@H]1OC;32.00576550377953;20.1911457170462;6.018697743614514;-413.5756
386;182253;TRUE;CCn1c(C)cn(N)c1=O.Cc1c[c]c(C#N)nc1N>>CCn1c(C)cn([NH])c1=O.Cc1ccc(C#N)nc1N;9.138812490611912;-32.33289940328809;5.638003947138786;-471.9734
834;276683;TRUE;CCOC1CC(NC)C1.CN1C=[C]c2occc2C1>>CCOC1C[C](NC)C1.CN1C=Cc2occc2C1;7.928162744760895;-26.547974590863767;8.41762450132105;-213.6187
