,rxn_id,G_r,DG_TS,DG_TS_tunn,dG_rxn,dG_forward,dG_reverse,fr_dG_rxn,fr_dG_forward,fr_dG_reverse,s_prod0,q_reac1,s_reac1,qH_reac0,qH_prod1,q_reac0,q_prod1,q_prod0,BV_reac1,BV_prod0
360,51861,2.683260801016546,27.070946078991334,25.069772089407355,1.2454385918879751,90.4340464081233,89.18860781623532,3.6743715805566524,135.96936519524618,132.29499361468953,1.0333871,-0.29059574,1.0292276,0.15607074,0.13723879,-0.46953446,-0.29608884,-0.4158217,0.44066199027245156,0.31792018079037954
1045,874890,1.5028879905735375,22.40048876508976,20.846599150392244,2.7353336098609304,83.1952185533792,80.45988494351828,2.6959416077703224,133.46849036053266,130.77254875276233,0.81441855,-0.3796196,0.6580736,0.16020243,0.16002557,-0.51079637,-0.5554689,-0.40461993,0.3155938495250518,0.3261419386762095
1452,414835,-13.75632638416762,15.702337180472698,15.660708560462693,-19.561505483206957,84.93851685989813,104.50002234310509,-13.11481436911032,123.80827194098777,136.92308631009809,0.86044216,0.08505186,0.87538385,0.12650232,0.14738187,0.014175229,-0.055017963,0.021119906,0.40592898825722656,0.42002700859483183
898,941113,1.4987501852689633,20.54010155443638,18.4291025956204,1.1447335409782937,90.73988670330402,89.59515316232573,1.8893516015658065,126.67371043398404,124.78435883241823,1.0121223,-0.33707285,0.9995673,0.2293795,0.233545,-0.5576209,-0.5647296,-0.32102364,0.377294238069481,0.3440985099678569
5,427022,4.648799136302034,27.59528522464362,25.53837600647977,-1.4527103767831733,74.42434856497816,75.87705894176133,-3.2718686049549603,122.8833278253232,126.15519643027817,0.7448489,-0.2627634,0.6272626,0.15456618,0.14517492,-0.3034131,-0.3046958,-0.24210146,0.46719072313690957,0.478771041383693
298,579685,-30.215330543856744,10.008370488623656,9.78069353851104,-28.801831763824055,78.22189150555224,107.02372326937629,-6.942193044987874,128.60274741349502,135.5449404584829,0.65776455,-0.07803316,0.9929969,0.15558584,0.15233214,-0.52280575,-0.25698563,-0.44404605,0.4613526075172746,0.3146435267964813
438,367140,-2.245043698117928,20.875247212080488,18.87332711387776,-2.1834467092086953,83.4509166642938,85.6343633735025,-1.7773112113290637,123.41537079877838,125.19268201010745,0.8960294,-0.08976235,0.917192,0.124027126,0.12287782,-0.09144549,-0.090938844,-0.106182024,0.4134586607975113,0.4206541457543912
22,551460,2.628788088210668,17.91239731033818,17.033838728333432,5.5285436494961715,81.13760109836339,75.60905744886722,8.889127145917968,127.05536268561242,118.16623553969445,0.783117,-0.47654533,0.5357566,0.16340789,0.25571224,-0.33151355,-0.62631404,-0.116366,0.35364282935846436,0.4448197185291968
757,730358,1.6964557821507156,21.676013852075226,19.70743472756577,3.6714865178973923,101.32968843114762,97.65820191325022,-3.0918878557110503,127.51780924255927,130.60969709827032,0.93841946,-0.009126536,0.87518626,0.18623836,0.13956015,-0.021060074,-0.08643717,0.14020994,0.4183974259654142,0.5122951621625365
934,313971,24.70168974356254,37.40571526691994,36.87551105318488,23.209476776451396,98.0652815259599,74.85580474950851,6.565897479352941,136.09414852794,129.52825104858707,0.8919801,-0.25337273,0.66145134,0.15151563,0.1682484,-0.27286178,-0.41995096,-0.22640221,0.5670881537762252,0.38360425354253525
1255,59436,-23.674411380532007,14.52147018167021,13.779485181724176,-24.6679921756527,67.09719634169078,91.76518851734347,-9.93678152229569,116.32698567774798,126.26376720004367,0.3357127,-0.33731756,1.0267912,0.13672805,0.22304761,-0.104716055,-0.53694785,-0.022548571,0.34200925256598846,0.45214915999229416
580,7758,14.118038837176728,22.10542587668945,21.48707822918369,13.887835878867378,109.59302406194385,95.70518818307647,9.534352049246138,143.639413512632,134.10506146338585,1.0196041,-0.23760751,0.9056061,0.16492571,0.3196499,-0.26962304,-0.47501895,-0.08743344,0.45180656731667473,0.4771511874390844
458,362068,1.7678091904429845,17.49063383869979,15.67250608981752,2.157362298399107,98.32667883138208,96.16931653298298,-2.4088076379806864,128.84012765574892,131.2489352937296,0.83487636,-0.25538036,0.8833561,0.32917556,0.33122185,-0.4213968,-0.4849302,-0.18319435,0.3842996115685042,0.3896836679108522
983,523783,6.502045206544738,29.20533790019596,27.18859605749307,4.759019876023018,92.71137890690429,87.95235903088127,-3.8070901887770106,128.30246398713345,132.10955417591046,0.8522759,-0.28926474,1.0416188,0.1416941,0.13826622,-0.06868324,-0.32046634,0.04910138,0.47812351978122136,0.559834196184471
435,413968,-1.1350764698406757,22.225513203740256,20.67735966024332,-1.4264824081122924,88.29224830598139,89.71873071409368,-0.2922641479183028,133.28050383331427,133.57276798123257,1.0699679,-0.2384243,1.0236338,0.16428556,0.15292913,-0.31219792,-0.30889434,-0.23258904,0.48650421768158886,0.4697825408282489
982,405296,-11.12825891243776,20.91140177179677,18.7914711197303,-7.77860817389147,74.73912559995017,82.51773377384164,-15.600152414359542,116.9436608397796,132.54381325413914,0.6007047,-0.34483874,0.8726307,0.15049616,0.14549544,0.31718203,-0.3036679,0.29088527,0.3259209573530932,0.5378901702612555
1424,779304,10.373576415938876,36.36402822635698,33.8001617591454,15.345636183758742,87.86550074042313,72.51986455666439,11.432813467120567,131.66411670954875,120.23130324242818,1.0241606,-0.28416827,0.6183751,0.15666786,0.14516158,-0.278183,-0.25737187,-0.28140762,0.48781464136756786,0.5149951793598985
1256,1634730,-0.325973682950877,23.3861172387106,21.25075235780217,-1.198393681625305,96.3271628712125,97.5255565528378,0.05193780337063458,132.30286288792433,132.2509250845537,0.8860566,0.1019778,0.99071807,0.14398853,0.15761398,0.030753013,0.1149418,0.09488245,0.5361623737104529,0.6073019795974534
223,658496,3.933800547042767,19.84023878925275,18.521408954726244,5.145225755019965,80.99511334787914,75.84988759285918,-2.2701364480763857,112.87710626694897,115.14724271502536,0.46012178,-0.32323053,0.79253435,0.24641912,0.25346485,-0.40489814,-0.43135503,-0.3165414,0.24812314736898125,0.5246491733362503
260,198926,-0.0125079252889013,23.41039563154588,21.40121352150845,0.3528084309095334,89.9834303761783,89.63062194526877,0.7915654845270694,133.6748915271393,132.88332604261223,0.98679,-0.24182758,0.9908152,0.14882734,0.1483639,-0.2540792,-0.2554703,-0.23353173,0.2540228742692212,0.23668142099488582
965,308825,5.687538127171232,20.09321866129996,18.933191418012683,2.3459773457103665,81.75910251882486,79.4131251731145,0.0657120316357549,117.38973432822509,117.32402229658933,0.6829257,-0.038997512,0.684172,0.12731259,0.10120639,0.114659674,0.076006815,-0.036201157,0.4277495626432978,0.4204105488692
574,696002,10.731502394055685,25.586462000877177,24.93971696321579,8.47550152929928,93.30343256094898,84.8279310316497,20.80056673176783,137.82867375366538,117.02810702189755,1.0327727,-0.20402187,0.951513,0.1630833,0.21523032,-0.41650787,-0.35748476,-0.34861478,0.4089408874311464,0.3165980374459207
27,952722,0.5517827475876669,20.38182131341724,18.47640831158796,1.058125556534705,98.75688335437647,97.69875779784176,1.2845291010791584,132.75550060429123,131.47097150321207,0.86822,-0.0013119581,0.86079675,0.14155324,0.14264482,-0.07144467,-0.08668627,0.012085226,0.41015363891929174,0.41126419453871055
1108,837742,-11.572984816350155,15.082379516182929,14.196173114470652,-14.44328070072632,84.84341634996113,99.28669705068745,-5.37878776084375,130.53155938519336,135.9103471460371,0.88414884,-0.2830519,1.0872099,0.17609777,0.13839516,-0.3165017,-0.3227633,-0.24254772,0.38127948043051507,0.496568659396953
676,419833,12.420721174893457,33.65582188827159,31.538785295959727,13.468842541230217,84.14423487681009,70.67539233557987,3.8170130333153907,124.41703207819599,120.6000190448806,0.904855,-0.036362424,0.56859076,0.11405255,0.12570018,-0.057941046,-0.12486515,-0.08327593,0.45714829661989065,0.3882945686524001
629,350280,6.303855297331786,18.72433784362025,17.97281302145965,5.4949469031324725,87.77987715274261,82.28493024961014,7.189398628394656,132.70721392769403,125.51781529929937,1.016156,-0.3480133,0.8501835,0.1492326,0.15647684,-0.2880642,-0.37111586,-0.29399765,0.24076508949890235,0.4339955011558715
